state,parameter,scenario,value
-0.5815368426824773,stubbornness,random,0.03
0.6798532947637056,stubbornness,random,0.03
-0.7711746443764864,stubbornness,random,0.03
0.15117560966036928,stubbornness,random,0.03
-0.1809861437811773,stubbornness,random,0.03
-0.34155806778685954,stubbornness,random,0.03
0.10532000745432296,stubbornness,random,0.03
0.1634348372664572,stubbornness,random,0.03
-0.39968433798967035,stubbornness,random,0.03
-0.2779172997259959,stubbornness,random,0.03
0.5056228482204224,stubbornness,random,0.03
-0.34669030649242366,stubbornness,random,0.03
0.18524589604853792,stubbornness,random,0.03
-0.23156971125136225,stubbornness,random,0.03
-0.6370635062089145,stubbornness,random,0.03
0.23868637710126606,stubbornness,random,0.03
-0.23813206131080614,stubbornness,random,0.03
0.0482052030388891,stubbornness,random,0.03
-0.037858903499972146,stubbornness,random,0.03
0.36037717660839474,stubbornness,random,0.03
-0.16646104744901896,stubbornness,random,0.03
0.5256381891800638,stubbornness,random,0.03
-0.1564420052210948,stubbornness,random,0.03
-0.03970360567945947,stubbornness,random,0.03
-0.036622495430711936,stubbornness,random,0.03
-0.5463517200627066,stubbornness,random,0.03
-0.14710683580577566,stubbornness,random,0.03
0.21589310294877828,stubbornness,random,0.03
0.39453297879810995,stubbornness,random,0.03
0.547888130363037,stubbornness,random,0.03
-0.4477385681904044,stubbornness,random,0.03
0.0427218250339844,stubbornness,random,0.03
-0.2510062708157362,stubbornness,random,0.03
-0.11292965932631034,stubbornness,random,0.03
0.075950183921357,stubbornness,random,0.03
0.6992700466244046,stubbornness,random,0.03
-0.6548488204706495,stubbornness,random,0.03
0.4068722808466791,stubbornness,random,0.03
-0.04253033446025799,stubbornness,random,0.03
0.1468174830453506,stubbornness,random,0.03
0.5984227053255591,stubbornness,random,0.03
0.2838750590274623,stubbornness,random,0.03
0.4149271576774641,stubbornness,random,0.03
-0.6378634520343002,stubbornness,random,0.03
0.08328079206037252,stubbornness,random,0.03
-0.15291921770043523,stubbornness,random,0.03
-0.5959886579491437,stubbornness,random,0.03
-0.3514315408572206,stubbornness,random,0.03
0.12347235671384074,stubbornness,random,0.03
0.09820635707273742,stubbornness,random,0.03
-0.19167407797691374,stubbornness,random,0.03
0.30654286122929475,stubbornness,random,0.03
0.30571014242339956,stubbornness,random,0.03
0.49021710957333164,stubbornness,random,0.03
0.20811472294633832,stubbornness,random,0.03
-0.2021478553685768,stubbornness,random,0.03
-0.872439310505895,stubbornness,random,0.03
0.5669439124326768,stubbornness,random,0.03
-0.04570469337009917,stubbornness,random,0.03
0.10307631056693664,stubbornness,random,0.03
-0.10778120071841732,stubbornness,random,0.03
0.11188391051116475,stubbornness,random,0.03
-0.4963797303837642,stubbornness,random,0.03
0.5356958871412754,stubbornness,random,0.03
0.19698026264882693,stubbornness,random,0.03
-0.20214285410248015,stubbornness,random,0.03
-0.11982208552121341,stubbornness,random,0.03
-0.14258626787691364,stubbornness,random,0.03
0.12519328386184414,stubbornness,random,0.03
0.2527675642403355,stubbornness,random,0.03
-0.002728173958699801,stubbornness,random,0.03
-0.604053198113656,stubbornness,random,0.03
-0.05465391932596406,stubbornness,random,0.03
-0.23375110732002077,stubbornness,random,0.03
-0.35567900722215723,stubbornness,random,0.03
-0.09516917451203145,stubbornness,random,0.03
0.4743680772641674,stubbornness,random,0.03
0.17534482380715902,stubbornness,random,0.03
0.5417983951581813,stubbornness,random,0.03
0.27857098336187747,stubbornness,random,0.03
-0.5635947680861294,stubbornness,random,0.03
-0.197158244682943,stubbornness,random,0.03
0.2587444572799593,stubbornness,random,0.03
-0.020978872082806833,stubbornness,random,0.03
-0.4795756951297487,stubbornness,random,0.03
-0.30861805709720613,stubbornness,random,0.04
-0.49234834604605554,stubbornness,random,0.04
0.7631936747895101,stubbornness,random,0.04
-0.979499894070214,stubbornness,random,0.04
-0.1435233603250367,stubbornness,random,0.04
0.3373963292028022,stubbornness,random,0.04
0.1371677985313074,stubbornness,random,0.04
-0.3244372249846607,stubbornness,random,0.04
-0.3052327331201005,stubbornness,random,0.04
-0.37160706939233007,stubbornness,random,0.04
-0.32816813733580014,stubbornness,random,0.04
0.03345588929054016,stubbornness,random,0.04
-0.46297081714028826,stubbornness,random,0.04
-0.6026615923921167,stubbornness,random,0.04
-0.4770722251983504,stubbornness,random,0.04
-0.46469980091829344,stubbornness,random,0.04
