,state,parameter,scenario,value
249,0.0480464777920273,stubbornness,random,0.0166220735785953
250,0.1791151062786064,stubbornness,random,0.0166220735785953
251,-0.291052220154945,stubbornness,random,0.0166220735785953
252,-0.6598438660656681,stubbornness,random,0.0166220735785953
253,0.3585972107446422,stubbornness,random,0.0166220735785953
254,0.4919869609402371,stubbornness,random,0.0166220735785953
255,0.0948943952614898,stubbornness,random,0.0166220735785953
256,-0.7666695365695819,stubbornness,random,0.0166220735785953
257,0.546761658835173,stubbornness,random,0.0166220735785953
258,0.0575192450144975,stubbornness,random,0.0166220735785953
259,0.1034392239752374,stubbornness,random,0.0166220735785953
260,-0.4657400929784369,stubbornness,random,0.0166220735785953
261,-0.6388572051589743,stubbornness,random,0.0166220735785953
262,-0.0008749360112868,stubbornness,random,0.0166220735785953
263,-0.2403532317034391,stubbornness,random,0.0166220735785953
264,0.0310310805967471,stubbornness,random,0.0166220735785953
265,-0.1128668098986608,stubbornness,random,0.0166220735785953
266,0.5284917720649076,stubbornness,random,0.0166220735785953
267,0.3047995366992746,stubbornness,random,0.0166220735785953
268,-0.3497680630949459,stubbornness,random,0.0166220735785953
269,0.028898071686445,stubbornness,random,0.0166220735785953
270,0.096096130305571,stubbornness,random,0.0166220735785953
271,0.0206918073341801,stubbornness,random,0.0166220735785953
272,-0.2215188227092176,stubbornness,random,0.0166220735785953
273,-0.1602726929079658,stubbornness,random,0.0166220735785953
274,0.0971711883699836,stubbornness,random,0.0166220735785953
275,-0.8085577250065183,stubbornness,random,0.0166220735785953
276,0.7525847862210546,stubbornness,random,0.0166220735785953
277,0.6585380904351552,stubbornness,random,0.0166220735785953
278,-0.3013025356242,stubbornness,random,0.0166220735785953
279,0.1049177533888406,stubbornness,random,0.0166220735785953
280,-0.4298316026587822,stubbornness,random,0.0166220735785953
281,-0.0063426236721193,stubbornness,random,0.0166220735785953
282,0.1317293530726068,stubbornness,random,0.0166220735785953
283,0.2692672993572406,stubbornness,random,0.0166220735785953
284,-0.6360516689116138,stubbornness,random,0.0166220735785953
285,-0.3194807986317322,stubbornness,random,0.0166220735785953
286,-0.233876843862726,stubbornness,random,0.0166220735785953
287,-0.2334334340900749,stubbornness,random,0.0166220735785953
288,0.1583261468922077,stubbornness,random,0.0166220735785953
289,-0.195122787801976,stubbornness,random,0.0166220735785953
290,0.5330167186415509,stubbornness,random,0.0166220735785953
291,0.1940895658544845,stubbornness,random,0.0166220735785953
292,-0.36528910202014,stubbornness,random,0.0166220735785953
293,-0.1864201059968624,stubbornness,random,0.0166220735785953
294,-0.126860017548448,stubbornness,random,0.0166220735785953
295,0.0561063060225558,stubbornness,random,0.0166220735785953
296,-0.0192139472138631,stubbornness,random,0.0166220735785953
297,-0.4192375201842582,stubbornness,random,0.0166220735785953
298,0.27717537292988,stubbornness,random,0.0166220735785953
299,0.3090322176922986,stubbornness,random,0.0166220735785953
300,-0.1049759282344836,stubbornness,random,0.0199331103678929
301,0.3764168392753793,stubbornness,random,0.0199331103678929
302,-0.0968604685427415,stubbornness,random,0.0199331103678929
303,-0.3026502662708011,stubbornness,random,0.0199331103678929
304,0.4101282151047514,stubbornness,random,0.0199331103678929
305,-0.7330887291149709,stubbornness,random,0.0199331103678929
306,0.050988248610539,stubbornness,random,0.0199331103678929
307,-0.6038720411884368,stubbornness,random,0.0199331103678929
308,-0.8013576120368506,stubbornness,random,0.0199331103678929
309,-0.4470575861116602,stubbornness,random,0.0199331103678929
310,0.0371500016720605,stubbornness,random,0.0199331103678929
311,0.4059596554506607,stubbornness,random,0.0199331103678929
312,0.4882639678565434,stubbornness,random,0.0199331103678929
313,-0.0700177359500524,stubbornness,random,0.0199331103678929
314,0.3960253778006428,stubbornness,random,0.0199331103678929
315,-0.107735516975514,stubbornness,random,0.0199331103678929
316,-0.4594797359158721,stubbornness,random,0.0199331103678929
317,-0.2249301061310413,stubbornness,random,0.0199331103678929
318,-0.3947294678609365,stubbornness,random,0.0199331103678929
319,-0.8721768609012807,stubbornness,random,0.0199331103678929
320,0.0857209744443232,stubbornness,random,0.0199331103678929
321,-0.2371640613577593,stubbornness,random,0.0199331103678929
322,0.265305775519198,stubbornness,random,0.0199331103678929
323,0.3500690203817408,stubbornness,random,0.0199331103678929
324,-0.1180580195617606,stubbornness,random,0.0199331103678929
325,-0.2507113473883327,stubbornness,random,0.0199331103678929
326,0.3231170655833302,stubbornness,random,0.0199331103678929
327,0.0333917026776567,stubbornness,random,0.0199331103678929
328,-0.1528219469581726,stubbornness,random,0.0199331103678929
329,0.2479692060526305,stubbornness,random,0.0199331103678929
330,-0.4942290096564875,stubbornness,random,0.0199331103678929
331,-0.1356489424132208,stubbornness,random,0.0199331103678929
332,0.3771021893967841,stubbornness,random,0.0199331103678929
333,0.2023232473844733,stubbornness,random,0.0199331103678929
334,0.0688210051341357,stubbornness,random,0.0199331103678929
335,0.3242628578172948,stubbornness,random,0.0199331103678929
336,-0.0234053842959271,stubbornness,random,0.0199331103678929
337,-0.2676163014121747,stubbornness,random,0.0199331103678929
338,0.1610485791343863,stubbornness,random,0.0199331103678929
339,-0.7168058577466453,stubbornness,random,0.0199331103678929
340,-0.3552803432958786,stubbornness,random,0.0199331103678929
341,-0.4829866310472417,stubbornness,random,0.0199331103678929
342,0.3146663364472347,stubbornness,random,0.0199331103678929
343,0.5357270733127045,stubbornness,random,0.0199331103678929
344,0.0235697699643846,stubbornness,random,0.0199331103678929
345,-0.460672451037883,stubbornness,random,0.0199331103678929
346,-0.6987575307234984,stubbornness,random,0.0199331103678929
347,-0.1250984338853643,stubbornness,random,0.0199331103678929
348,0.5005079440367557,stubbornness,random,0.0199331103678929
349,-0.2301194152264531,stubbornness,random,0.0199331103678929
350,0.4392004074648483,stubbornness,random,0.0199331103678929
351,0.2263946881801383,stubbornness,random,0.0199331103678929
352,-0.3577414838459311,stubbornness,random,0.0199331103678929
353,-0.6230443547801063,stubbornness,random,0.0199331103678929
354,-0.6261894478600619,stubbornness,random,0.0199331103678929
355,-0.155926537709648,stubbornness,random,0.0199331103678929
356,0.2392561634537811,stubbornness,random,0.0199331103678929
357,-0.1534103419612042,stubbornness,random,0.0199331103678929
358,-0.4419060198011297,stubbornness,random,0.0199331103678929
359,-0.0319297314061998,stubbornness,random,0.0199331103678929
360,0.4274445042593421,stubbornness,random,0.0199331103678929
361,0.5390092129111808,stubbornness,random,0.0199331103678929
362,-0.0972724110469336,stubbornness,random,0.0199331103678929
363,0.1203581759397241,stubbornness,random,0.0199331103678929
364,-0.2087573637593772,stubbornness,random,0.0199331103678929
365,-0.2369431717789284,stubbornness,random,0.0199331103678929
366,-0.4112882347888969,stubbornness,random,0.0199331103678929
367,-0.1760441134402602,stubbornness,random,0.0199331103678929
368,-0.0473354197503804,stubbornness,random,0.0199331103678929
369,-0.1336160768197026,stubbornness,random,0.0199331103678929
370,0.3337720713218942,stubbornness,random,0.0199331103678929
371,-0.2718894840478856,stubbornness,random,0.0199331103678929
372,0.0468418842119166,stubbornness,random,0.0199331103678929
373,0.1677664993275424,stubbornness,random,0.0199331103678929
374,-0.5238185102652285,stubbornness,random,0.0199331103678929
375,-0.4056844792800884,stubbornness,random,0.0199331103678929
376,-0.1365650653465925,stubbornness,random,0.0199331103678929
377,-0.3006913530070877,stubbornness,random,0.0199331103678929
378,-0.2093779373582612,stubbornness,random,0.0199331103678929
379,-0.5840580707580829,stubbornness,random,0.0199331103678929
380,0.1754143312245374,stubbornness,random,0.0199331103678929
381,-0.5299219734034806,stubbornness,random,0.0199331103678929
382,-0.2542722628671968,stubbornness,random,0.0199331103678929
383,0.0754150155472973,stubbornness,random,0.0199331103678929
384,-0.3593467194338811,stubbornness,random,0.0199331103678929
385,-0.203957517514895,stubbornness,random,0.0199331103678929
386,0.1464045231637469,stubbornness,random,0.0199331103678929
387,-0.0327849566912351,stubbornness,random,0.0199331103678929
388,-0.3067130790701199,stubbornness,random,0.0199331103678929
389,0.1496723511987535,stubbornness,random,0.0199331103678929
390,-0.3436809586086311,stubbornness,random,0.0199331103678929
391,0.1214278305763137,stubbornness,random,0.0199331103678929
392,-0.3460367865016999,stubbornness,random,0.0199331103678929
393,0.0966234738555754,stubbornness,random,0.0199331103678929
394,-0.1009648255133046,stubbornness,random,0.0199331103678929
395,-0.6684047156290496,stubbornness,random,0.0199331103678929
396,0.0030300861107713,stubbornness,random,0.0199331103678929
397,0.1489714914311497,stubbornness,random,0.0199331103678929
398,0.1676802526766247,stubbornness,random,0.0199331103678929
399,-0.5635389593124875,stubbornness,random,0.0199331103678929
400,0.1381647218615857,stubbornness,random,0.0232441471571906
401,-0.3354824674120929,stubbornness,random,0.0232441471571906
402,-0.6714599209510984,stubbornness,random,0.0232441471571906
403,0.0301773171703275,stubbornness,random,0.0232441471571906
404,0.5349575556888314,stubbornness,random,0.0232441471571906
405,-0.3380458036154411,stubbornness,random,0.0232441471571906
406,-0.5809376976082072,stubbornness,random,0.0232441471571906
407,0.5162261990171215,stubbornness,random,0.0232441471571906
408,0.2619135391570167,stubbornness,random,0.0232441471571906
409,0.4842279647915664,stubbornness,random,0.0232441471571906
410,-0.1508898127588314,stubbornness,random,0.0232441471571906
411,-0.5210915385782103,stubbornness,random,0.0232441471571906
412,0.4731526173530329,stubbornness,random,0.0232441471571906
413,-0.0517693674815141,stubbornness,random,0.0232441471571906
414,0.3737529432467381,stubbornness,random,0.0232441471571906
415,-0.0902089199646062,stubbornness,random,0.0232441471571906
416,-0.1836466048100199,stubbornness,random,0.0232441471571906
417,0.0737753727068074,stubbornness,random,0.0232441471571906
418,-0.5198414841382359,stubbornness,random,0.0232441471571906
419,0.3948426642929522,stubbornness,random,0.0232441471571906
420,0.3117784362844941,stubbornness,random,0.0232441471571906
421,-0.2476696581796493,stubbornness,random,0.0232441471571906
422,-0.1112154068155569,stubbornness,random,0.0232441471571906
423,-0.6789928041654156,stubbornness,random,0.0232441471571906
424,-0.0061776256788915,stubbornness,random,0.0232441471571906
425,-0.8418798713253516,stubbornness,random,0.0232441471571906
426,-0.0513127742248775,stubbornness,random,0.0232441471571906
427,0.001983972762793,stubbornness,random,0.0232441471571906
428,0.128564362862538,stubbornness,random,0.0232441471571906
429,0.400279407851888,stubbornness,random,0.0232441471571906
430,-0.0029492393799728,stubbornness,random,0.0232441471571906
431,0.4405615513942512,stubbornness,random,0.0232441471571906
432,-0.0278058340463877,stubbornness,random,0.0232441471571906
433,-0.0077487640625549,stubbornness,random,0.0232441471571906
434,-0.3405928294543566,stubbornness,random,0.0232441471571906
435,-0.4747222936570022,stubbornness,random,0.0232441471571906
436,-0.1772780197014336,stubbornness,random,0.0232441471571906
437,0.6845686863315672,stubbornness,random,0.0232441471571906
438,0.1355779070805527,stubbornness,random,0.0232441471571906
439,0.1576528387684363,stubbornness,random,0.0232441471571906
440,0.2614763322077944,stubbornness,random,0.0232441471571906
441,0.1382808275173681,stubbornness,random,0.0232441471571906
442,-0.1025943179830031,stubbornness,random,0.0232441471571906
443,-0.1099028629324014,stubbornness,random,0.0232441471571906
444,0.1184672892037755,stubbornness,random,0.0232441471571906
445,-0.4046495014506483,stubbornness,random,0.0232441471571906
446,0.3132165471302453,stubbornness,random,0.0232441471571906
447,-0.1994974343293594,stubbornness,random,0.0232441471571906
448,-0.2626658520341561,stubbornness,random,0.0232441471571906
449,-0.6288839620944351,stubbornness,random,0.0232441471571906
450,0.2287183309175762,stubbornness,random,0.0232441471571906
451,-0.1000338901018054,stubbornness,random,0.0232441471571906
452,0.0901710649994006,stubbornness,random,0.0232441471571906
453,-0.4310822458416083,stubbornness,random,0.0232441471571906
454,0.0921292799589796,stubbornness,random,0.0232441471571906
455,-0.0555171836198552,stubbornness,random,0.0232441471571906
456,-0.0903354065726019,stubbornness,random,0.0232441471571906
457,-0.7475889315350576,stubbornness,random,0.0232441471571906
458,-0.0090647686294797,stubbornness,random,0.0232441471571906
459,-0.999238023208268,stubbornness,random,0.0232441471571906
460,-0.3395010754279918,stubbornness,random,0.0232441471571906
461,-0.0250069405808497,stubbornness,random,0.0232441471571906
462,0.3769056336677179,stubbornness,random,0.0232441471571906
463,0.6252514543139734,stubbornness,random,0.0232441471571906
464,-0.0784159796241451,stubbornness,random,0.0232441471571906
465,0.1165444845828637,stubbornness,random,0.0232441471571906
466,-0.3654649786211862,stubbornness,random,0.0232441471571906
467,0.1645956312955567,stubbornness,random,0.0232441471571906
468,-0.6408381775476419,stubbornness,random,0.0232441471571906
469,-0.2656733479737228,stubbornness,random,0.0232441471571906
470,0.3941024143891818,stubbornness,random,0.0232441471571906
471,-0.3441337175193721,stubbornness,random,0.0232441471571906
472,-0.3440020571749693,stubbornness,random,0.0232441471571906
473,0.0482279639976439,stubbornness,random,0.0232441471571906
474,-0.5154536730917632,stubbornness,random,0.0232441471571906
475,0.0293822736952119,stubbornness,random,0.0232441471571906
476,-0.7814222814308738,stubbornness,random,0.0232441471571906
477,-0.7913301727213152,stubbornness,random,0.0232441471571906
478,0.0547477387808653,stubbornness,random,0.0232441471571906
479,-0.1784464685896117,stubbornness,random,0.0232441471571906
480,-0.3175479516750104,stubbornness,random,0.0232441471571906
481,-0.2952906842359709,stubbornness,random,0.0232441471571906
482,0.6361081356743715,stubbornness,random,0.0232441471571906
483,-0.232600198083466,stubbornness,random,0.0232441471571906
484,-0.4011626186650037,stubbornness,random,0.0232441471571906
485,-0.0651095411588423,stubbornness,random,0.0232441471571906
486,0.105883463406169,stubbornness,random,0.0232441471571906
487,0.2841262280045323,stubbornness,random,0.0232441471571906
488,0.2560649512278705,stubbornness,random,0.0232441471571906
489,0.0679453746558923,stubbornness,random,0.0232441471571906
490,0.6837951498457701,stubbornness,random,0.0232441471571906
491,-0.1178593498226102,stubbornness,random,0.0232441471571906
492,0.1331592672587828,stubbornness,random,0.0232441471571906
493,-0.5275878115917627,stubbornness,random,0.0232441471571906
494,0.2861634697819948,stubbornness,random,0.0232441471571906
495,-0.0930835114149889,stubbornness,random,0.0232441471571906
496,-0.438103707717446,stubbornness,random,0.0232441471571906
497,-0.0621090674709252,stubbornness,random,0.0232441471571906
498,0.1193041702092724,stubbornness,random,0.0232441471571906
499,-0.1597238407767869,stubbornness,random,0.0232441471571906
500,0.2284501782886368,stubbornness,random,0.0265551839464882
501,-0.1492939378412388,stubbornness,random,0.0265551839464882
502,-0.4179010883152882,stubbornness,random,0.0265551839464882
503,0.2033641780300258,stubbornness,random,0.0265551839464882
504,-0.4762328925098688,stubbornness,random,0.0265551839464882
505,0.598816887421889,stubbornness,random,0.0265551839464882
506,-0.243327164566257,stubbornness,random,0.0265551839464882
