state,parameter,scenario,value
-0.15088981275883143,stubbornness,random,0.023244147157190635
-0.5210915385782103,stubbornness,random,0.023244147157190635
0.47315261735303293,stubbornness,random,0.023244147157190635
-0.05176936748151411,stubbornness,random,0.023244147157190635
0.37375294324673813,stubbornness,random,0.023244147157190635
-0.0902089199646062,stubbornness,random,0.023244147157190635
-0.18364660481001996,stubbornness,random,0.023244147157190635
0.07377537270680742,stubbornness,random,0.023244147157190635
-0.5198414841382359,stubbornness,random,0.023244147157190635
0.39484266429295223,stubbornness,random,0.023244147157190635
0.31177843628449414,stubbornness,random,0.023244147157190635
-0.24766965817964937,stubbornness,random,0.023244147157190635
-0.1112154068155569,stubbornness,random,0.023244147157190635
-0.6789928041654156,stubbornness,random,0.023244147157190635
-0.006177625678891502,stubbornness,random,0.023244147157190635
-0.8418798713253516,stubbornness,random,0.023244147157190635
-0.05131277422487752,stubbornness,random,0.023244147157190635
0.0019839727627930033,stubbornness,random,0.023244147157190635
0.12856436286253806,stubbornness,random,0.023244147157190635
0.40027940785188804,stubbornness,random,0.023244147157190635
-0.002949239379972827,stubbornness,random,0.023244147157190635
0.4405615513942512,stubbornness,random,0.023244147157190635
-0.02780583404638778,stubbornness,random,0.023244147157190635
-0.0077487640625549135,stubbornness,random,0.023244147157190635
-0.34059282945435665,stubbornness,random,0.023244147157190635
-0.47472229365700225,stubbornness,random,0.023244147157190635
-0.17727801970143364,stubbornness,random,0.023244147157190635
0.6845686863315672,stubbornness,random,0.023244147157190635
0.13557790708055273,stubbornness,random,0.023244147157190635
0.15765283876843636,stubbornness,random,0.023244147157190635
0.2614763322077944,stubbornness,random,0.023244147157190635
0.13828082751736814,stubbornness,random,0.023244147157190635
-0.10259431798300317,stubbornness,random,0.023244147157190635
-0.10990286293240141,stubbornness,random,0.023244147157190635
0.1184672892037755,stubbornness,random,0.023244147157190635
-0.4046495014506483,stubbornness,random,0.023244147157190635
0.3132165471302453,stubbornness,random,0.023244147157190635
-0.19949743432935946,stubbornness,random,0.023244147157190635
-0.26266585203415616,stubbornness,random,0.023244147157190635
-0.6288839620944351,stubbornness,random,0.023244147157190635
0.22871833091757626,stubbornness,random,0.023244147157190635
-0.10003389010180548,stubbornness,random,0.023244147157190635
0.09017106499940068,stubbornness,random,0.023244147157190635
-0.43108224584160837,stubbornness,random,0.023244147157190635
0.09212927995897964,stubbornness,random,0.023244147157190635
-0.05551718361985527,stubbornness,random,0.023244147157190635
-0.09033540657260196,stubbornness,random,0.023244147157190635
-0.7475889315350576,stubbornness,random,0.023244147157190635
-0.009064768629479756,stubbornness,random,0.023244147157190635
-0.999238023208268,stubbornness,random,0.023244147157190635
-0.33950107542799185,stubbornness,random,0.023244147157190635
