,avgdegree,degreeSD,mindegree,maxdegree,scenario,rewiring,type
132,12.487499999999999,5.551155288865244,5.625,31.375,biased,diff,cl
133,12.49375,5.549966875491135,5.625,31.375,biased,diff,cl
134,12.506250000000001,5.555343841577583,5.625,31.375,biased,diff,cl
135,12.506250000000001,5.561064078176899,5.625,31.375,biased,diff,cl
136,12.512500000000001,5.559229836564197,5.625,31.375,biased,diff,cl
137,12.512500000000001,5.559229836564197,5.625,31.375,biased,diff,cl
138,12.51875,5.568237155899066,5.625,31.5,biased,diff,cl
139,12.51875,5.564769394543511,5.625,31.5,biased,diff,cl
140,12.525,5.562110326539246,5.75,31.375,biased,diff,cl
141,12.53125,5.5639613739423535,5.625,31.375,biased,diff,cl
142,12.5375,5.565058523880895,5.625,31.375,biased,diff,cl
143,12.5375,5.565058523880895,5.625,31.375,biased,diff,cl
144,12.5375,5.565058523880895,5.625,31.375,biased,diff,cl
145,12.5375,5.5707090667890204,5.625,31.375,biased,diff,cl
146,12.54375,5.572550105250926,5.625,31.375,biased,diff,cl
147,12.54375,5.572550105250926,5.625,31.375,biased,diff,cl
148,12.556249999999999,5.587939282847052,5.625,31.375,biased,diff,cl
149,12.562499999999998,5.59787176971602,5.625,31.5,biased,diff,cl
150,12.562499999999998,5.59787176971602,5.625,31.5,biased,diff,cl
151,12.562499999999998,5.598430920967568,5.625,31.5,biased,diff,cl
152,12.575,5.581400482268622,5.625,31.375,biased,diff,cl
153,12.575,5.581400482268622,5.625,31.375,biased,diff,cl
154,12.575,5.581400482268622,5.625,31.375,biased,diff,cl
155,12.575,5.581400482268622,5.625,31.375,biased,diff,cl
156,12.575,5.581400482268622,5.625,31.375,biased,diff,cl
157,12.575,5.581400482268622,5.625,31.375,biased,diff,cl
158,12.581249999999999,5.5813301256738805,5.625,31.375,biased,diff,cl
159,12.5875,5.5780736832660605,5.625,31.25,biased,diff,cl
160,12.5875,5.5780736832660605,5.625,31.25,biased,diff,cl
161,12.5875,5.573635305748718,5.625,31.25,biased,diff,cl
162,12.5875,5.578081570685097,5.625,31.25,biased,diff,cl
163,12.5875,5.578081570685097,5.625,31.25,biased,diff,cl
164,12.59375,5.575097678058255,5.625,31.25,biased,diff,cl
165,12.59375,5.575097678058255,5.625,31.25,biased,diff,cl
166,12.6,5.580692657888561,5.625,31.25,biased,diff,cl
167,12.6,5.580692657888561,5.625,31.25,biased,diff,cl
168,12.6,5.580692657888561,5.625,31.25,biased,diff,cl
169,12.6,5.580692657888561,5.625,31.25,biased,diff,cl
170,12.6,5.580692657888561,5.625,31.25,biased,diff,cl
171,12.60625,5.5866156677936845,5.75,31.375,biased,diff,cl
172,12.60625,5.5866156677936845,5.75,31.375,biased,diff,cl
173,12.60625,5.5849368687381835,5.75,31.375,biased,diff,cl
174,12.612499999999999,5.588848500529913,5.75,31.375,biased,diff,cl
175,12.618749999999999,5.595548190603539,5.75,31.375,biased,diff,cl
176,12.618749999999999,5.595548190603539,5.75,31.375,biased,diff,cl
177,12.618749999999999,5.595548190603539,5.75,31.375,biased,diff,cl
178,12.618749999999999,5.596497451385464,5.75,31.375,biased,diff,cl
179,12.618749999999999,5.596497451385464,5.75,31.375,biased,diff,cl
180,12.618749999999999,5.596497451385464,5.75,31.375,biased,diff,cl
181,12.624999999999998,5.598270960957567,5.75,31.375,biased,diff,cl
182,12.624999999999998,5.598270960957567,5.75,31.375,biased,diff,cl
183,12.631249999999998,5.596896937152219,5.75,31.375,biased,diff,cl
184,12.631249999999998,5.598579043268065,5.75,31.375,biased,diff,cl
185,12.631249999999998,5.598579043268065,5.75,31.375,biased,diff,cl
186,12.631249999999998,5.598579043268065,5.75,31.375,biased,diff,cl
187,12.631249999999998,5.603691338454817,5.75,31.375,biased,diff,cl
188,12.631249999999998,5.603691338454817,5.75,31.375,biased,diff,cl
189,12.631249999999998,5.601925139193829,5.75,31.375,biased,diff,cl
190,12.631249999999998,5.601925139193829,5.75,31.375,biased,diff,cl
191,12.631249999999998,5.601925139193829,5.75,31.375,biased,diff,cl
192,12.637499999999998,5.602839157559578,5.75,31.375,biased,diff,cl
193,12.637499999999998,5.602839157559578,5.75,31.375,biased,diff,cl
194,12.643749999999999,5.601907319732975,5.75,31.375,biased,diff,cl
195,12.643749999999999,5.601907319732975,5.75,31.375,biased,diff,cl
196,12.65625,5.620520796365732,5.75,31.375,biased,diff,cl
197,12.668750000000001,5.618874384276899,5.75,31.5,biased,diff,cl
198,12.668750000000001,5.618874384276899,5.75,31.5,biased,diff,cl
199,12.675,5.6159882961942795,5.75,31.5,biased,diff,cl
200,11.031249999999998,5.732270556694561,1.0,28.75,biased,same,FB
201,11.05625,5.72377366990331,1.0,28.5,biased,same,FB
202,11.0875,5.712850953029293,1.0,28.375,biased,same,FB
203,11.112499999999999,5.706795963711794,1.0,28.5,biased,same,FB
204,11.14375,5.718686647838109,1.125,28.5,biased,same,FB
205,11.168750000000001,5.728142592879078,1.125,28.625,biased,same,FB
206,11.200000000000001,5.753130953205705,1.125,28.75,biased,same,FB
207,11.237499999999999,5.74890885116766,1.25,28.75,biased,same,FB
208,11.25,5.751123496280863,1.25,28.625,biased,same,FB
209,11.275,5.735163646280791,1.25,28.375,biased,same,FB
210,11.306249999999999,5.745190443887539,1.25,28.375,biased,same,FB
211,11.331249999999997,5.7496716226375195,1.25,28.5,biased,same,FB
