scenario,rewiring,topology,model_run,friendly_name,network_class,convergence_rate,final_cooperativity,final_polarization,time_to_majority,rel_vs_static_rate,rel_vs_static_coop,rel_vs_static_polar,rel_vs_static_time,rel_vs_random_rate,rel_vs_random_coop,rel_vs_random_polar,rel_vs_random_time,better_than_static_rate,better_than_static_coop,better_than_static_polar,better_than_static_time,better_than_random_rate,better_than_random_coop,better_than_random_polar,better_than_random_time
bridge,diff,DPAH,9,bridge (opposite),directed,-0.0010424808242261593,0.31769320386755934,0.9191800264809578,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,10,bridge (opposite),directed,0.22043633965762846,0.3763054486115202,0.9005527076934366,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,11,bridge (opposite),directed,0.07365250447007712,0.34206530012253533,0.9127719254060703,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,12,bridge (opposite),directed,0.08368359168090439,0.3827819410382293,0.9003006565451118,22190.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,13,bridge (opposite),directed,-0.1448805275072655,0.3683411443549403,0.9094443403951664,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,13,bridge (opposite),directed,-0.4214004962102591,0.2526601834807074,0.9409797216074905,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,14,bridge (opposite),directed,0.08678875726648773,0.28762674884928574,0.9315073778636815,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,15,bridge (opposite),directed,-0.2104884753434925,0.3929949711223134,0.8932889481534354,25212.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,16,bridge (opposite),directed,0.3115968831839074,0.47782892687369766,0.8525817311308002,38955.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,17,bridge (opposite),directed,0.09308931666143096,0.3331345082822828,0.9177483082532774,10564.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,18,bridge (opposite),directed,0.260400881991406,0.3973502573854098,0.8901621884889962,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,19,bridge (opposite),directed,0.03258087609701097,0.29850418718854765,0.9298627592081345,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,20,bridge (opposite),directed,-0.5038501151063798,0.3185805482967686,0.9211357523786795,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,21,bridge (opposite),directed,-0.02461806933788963,0.3507852008087756,0.9093888344074595,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,22,bridge (opposite),directed,0.19193446763881697,0.36272528863333564,0.8998496505518601,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,23,bridge (opposite),directed,0.02611157401669605,0.3621083182898039,0.9061591221941342,27740.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
